Абразивный инструмент ,Корщетки ,Круг торцовый Power-Wheel (Clean & Strip),22.50,1 шт.,"Специальный из нетканого материала с SiC зерном для очистки поверхностей и удаления следов ""побежалости"". Не засоряется за счет открытого строения круги. Безопасен в сравнении с корд щетками.",http://st5.stpulscen.ru/images/product/057/446/263_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Диски самозацепляемы цирконий Klingspor PS21FK 125,0.80 - 0.90,10 шт.,"Шлифовальная шкурка на бумажной основе, самозацепляемая. Агрессивный характер шлифования за счетсамозатачиваещегося циркониевого электрокорунда. Оптимальное решениея для черновой и финишно обработкинержавеющих стали. Долгий срок службы.

Цена указана с НДС",http://st5.stpulscen.ru/images/product/057/442/714_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Диски самозацепляемы цирконий Klingspor PS21FK 125,0.80 - 0.90,10 шт.,"Шлифовальная шкурка на бумажной основе, самозацепляемая. Агрессивный характер шлифования за счетсамозатачиваещегося циркониевого электрокорунда. Оптимальное решениея для черновой и финишно обработкинержавеющих стали. Долгий срок службы.

Цена указана с НДС",http://st18.stpulscen.ru/images/product/085/474/957_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Диски самозацепляемые Klingspor PS33 Ф150,0.45,50 шт.,"Шлифовальная шкурка на бумажной основе, самозацепляемая. Высокая скорость шлифования. Стеаратовое покрытие. Универсальное применение: краски/лаки/шпалевки, нержавеющая сталь, древесина.",http://st9.stpulscen.ru/images/product/067/410/611_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Диски самозацепляемые шлифовальные Klingspor PS18 125,0.55 - 0.75,50 шт.,Специальное изделие для обработки древесины и деревянных заготовок.,http://st5.stpulscen.ru/images/product/057/443/476_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Диски самозацепляемые шлифовальные Klingspor PS18 125,0.36 - 0.44,50 шт.,Специальное изделие для обработки древесины и деревянных заготовок.,http://st18.stpulscen.ru/images/product/085/474/964_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Зачистные круги 125х6х22 Т27 3М,2.50,5 шт.,Зачистные круги 3M - качественный и экономичный инструмент для зачистки и других операций,http://st9.stpulscen.ru/images/product/067/411/271_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Круг торцовый Power-Wheel (Clean & Strip) КТ 125х22,22.50,1 шт.,"Специальный диск из нетканого материала с SiC зерном для очистки поверхностей и удаления следов побежалости. Безопасный продукт в сравнении с металическими счетками. Не засоряется за счет открытой структуры

Цена указана с НДС",http://st21.stpulscen.ru/images/product/091/938/114_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Круг фибровый 125x22 36+ 982C 3M,2.80,10 шт.,"Новые фибровые шлифовальные круги 982С с керамическим зерном точной формы 3M™ для черного металла:


Повышение скорости обработки в 1,5–2 раза

Увеличение срока службы до 4 раз

Снижение себестоимости зачистных и последующих операций

Экономия времени и сил оператора при длительной работе

Сокращение количества шагов обработки",http://st9.stpulscen.ru/images/product/067/410/967_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Круг фибровый 125x22 36+ 987C 3M,2.80,10 шт.,"Новые фибровые круги 987С с абразивным минералом 3M™ Cubitron™ II для нержавеющей стали и других металлов чувствительных к нагреву:


• Повышение скорости обработки в 1,5–2 раза

• Увеличение срока службы до 5 раз

• Снижение себестоимости зачистных и последующих операций

• Отсутствие риска появления окалины и цветов побежалости

• Экономия времени и сил оператора при длительной работе

• Сокращение количества шагов обработки",http://st9.stpulscen.ru/images/product/067/410/750_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Круг фибровый 180x22 P36 CS561 Klingspor Kronenflex,1.50,10 шт.,"Фибровый круг универсального применения.

Области применения: Сталь, цветные металлы, древесина

Доступные зернистости в данном диаметре: P24, P36, P40, P60",http://st9.stpulscen.ru/images/product/067/410/411_medium.jpg, 
Абразивный инструмент ,Круги абразивные ,Лепестковые тарельчатые круги Klingspor SMT 800 Coarse P80 (коричневый),9.12, ,"Круг лепестковый из нетканного абразивного материала скотчбрайт  SMT 800 Klingspor medium.

Лепестковый тарельчатый круг SMT 800. Высококачественный лепестковый тарельчатый круг из нетканого материала скотчбрайт для отделочной обработки. В зависимости от степени твёрдости годится для очистки, удаления небольших заусенцев а также обработки швов TIG в процессе обработки благородной стали, нержавейки. 

Области применения: благородная сталь, нержавейка.

Форма выпуклая 12° .

Класс качества Special.

Корпус-тарелка стекловолокно.

Размеры в мм (диаметр х отверстие) 125 x 22,23.

Зернистость нетканою материала coarse коричневый, medium каштановый , very fine синий.

Цвет Максимальная рабочая скорость/ Допустимое вращение   80 м/с  / 12.200 1/мин.

 Лепестковые тарельчатые круги.",http://st19.stpulscen.ru/images/product/086/169/410_medium.jpg,278498
